中文名,外文名,ICAO代码,IATA代码,通航日期,所属地区,飞行区等级,机场类型,地区管理,航站楼面积,机位数量,跑道长度,航线数量,通航城市,旅客吞吐量,货邮吞吐量,起降架次,运营机构,开通城市,总投资,跑&nbsp;&nbsp;&nbsp;&nbsp;道,轨道交通线路站点,铁&nbsp;&nbsp;&nbsp;&nbsp;路,旅客捷运系统,枢纽航司,地&nbsp;&nbsp;&nbsp;&nbsp;址,安全管理机构,设计旅客年吞吐量,设计货邮年吞吐量,东跑道长度,西跑道长度,跑道宽度,客运航线,地理位置,始建时间,航站楼数量,机场地址,通航时间,机场代码,机场性质
张掖甘州机场,Zhangye Ganzhou Airport,ZLZY,YZY,2011年11月1日,中国甘肃省张掖市,4C级,军民合用机场,中国民用航空西北地区管理局,4189 m² （截至2022年7月）,3 个 （截至2022年7月）,3000 m （截至2022年7月）,7 条 （2024年夏秋航季）,8座（2024年夏秋航季）,428794 人次 （2023年）,850.1 吨 （2023年）,3799架次（2023年）,甘肃省民航机场集团有限公司张掖机场公司,,,,,,,,,,,,,,,,,,,,,,
巴彦淖尔天吉泰机场,Bayannur Tianjitai Airport,ZBYZ,RLK,2011年12月30日,中国内蒙古自治区巴彦淖尔市,4C级,民用运输机场,中国民用航空华北地区管理局,7076 m² （截至2019年11月）,6 个 （截至2019年11月）,2600 m （截至2019年11月）,7 条 （2020夏秋航季）,8个（2020夏秋航季）,42.89 万人次 （2019年）,807.8 吨 （2019年）,5627架次（2019年）,内蒙古自治区民航机场集团有限责任公司 内蒙古巴彦淖尔民航机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
扬州泰州国际机场,Yangzhou Taizhou International Airport,ZSYA,YTY,2012年5月8日,中国江苏省扬州市江都区,4E,民用运输机场,中国民用航空华东地区管理局,3.13 m² （截至2021年6月）,14 个 （截至2021年6月）,3200 m （1条，截至2021年6月）,35 条 （2025年-2026年冬春航季）,34个 （2025年-2026年冬春航季）,364.86 万人次 （2024年）,1.26 万吨 （2024年）,2.83万 （2024年）,东部机场集团有限公司 扬州泰州国际机场投资建设有限责任公司,,,,,,,,,,,,,,,,,,,,,,
稻城亚丁机场,Daocheng Yading Airport,ZUDC,DCY,2013年9月16日,中国四川省甘孜藏族自治州,4C级,民用运输机场,中国民用航空西南地区管理局,5000平方米（截至2013年9月）,4个（截至2013年9月）,4200米（截至2013年9月）,8条（截至2019年7月）,6个（截至2019年7月）,226273人次（2019年）,167.6吨（2019年）,2612架次（2019年）,四川康定机场集团有限责任公司 四川稻城亚丁机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
张家口宁远机场,Zhangjiakou Ningyuan Airport,ZBZJ,ZQZ,2013年6月16日,中国河北省张家口市,4C,军民合用机场,中国民用航空华北地区管理局,19300 m² （截至2021年2月）,14 个 （截至2021年2月）,3000 m （截至2021年2月）,9 条 （2024年夏航季）,5座（2024年夏航季）,464638 人次 （2021年）,39.4 吨 （2021年）,4617架次（2021年）,首都机场集团有限公司 河北机场管理集团有限公司 张家口机场有限公司,,,,,,,,,,,,,,,,,,,,,,
池州九华山机场,Chizhou Jiuhuashan Airport,ZSJH,JUH,2013年7月29日,中国 安徽省 池州市,4C [1],民用运输机场,中国民用航空华东地区管理局,1.17万平方米（截至2019年5月）,5个（截至2019年5月）,2400米，共1条（截至2019年5月）,,10个（截至2025年3月）,52.44万人次（2019年）,0.09万吨（2019年）,0.56万（2019年）,安徽民航机场集团有限公司池州九华山机场分公司,,,,,,,,,,,,,,,,,,,,,,
凯里黄平机场,Kaili Huangping Airport,ZUKJ,KJH,2013年10月2日,贵州省黔东南苗族侗族自治州,4C,民用运输机场,中国民用航空西南地区管理局,3500 m² （截至2013年9月）,3 个 （截至2013年9月）,2600 m （截至2013年9月）,3 条 （2020夏秋航季）,5个（2020夏秋航季）,9.48 万人次 （2019年）,4.5 吨 （2019年）,2596架次（2019年）,贵州省机场集团有限公司凯里黄平机场分公司,,,,,,,,,,,,,,,,,,,,,,
抚远东极机场,Fuyuan Dongji Airport,ZYFY,FYJ,2014年5月26日,中国 黑龙江省 佳木斯市 抚远市,4C级,民用运输机场,中国民用航空东北地区管理局,4107平方米（截至2020年6月）,4个（截至2020年6月）,2500米（截至2020年6月）,3 条 （2021/2022年冬春航季）,4个（2021/2022年冬春航季）,2.17 万人次 （2020年）,0 吨 （2020年）,374架次（2020年）,黑龙江省机场管理集团有限公司 抚远东极机场管理有限责任公司,,,,,,,,,,,,,,,,,,,,,,
阿拉善左旗巴彦浩特机场,Alax Zuoqi Bayanhot Airport,ZBAL,AXF,2013年12月17日,中国内蒙古自治区阿拉善盟阿拉善左旗,3C级,民用运输机场,中国民用航空华北地区管理局,1500平方米（截止2019年12月）,3个（截至2019年12月）,2400米（截至2019年12月）,4条（截至2020年6月）,4个（截至2020年6月）,15.6042万人次（2019年）,0.9吨（2019年）,4830架次（2019年）,内蒙古自治区民航机场管理集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,
阿拉善右旗巴丹吉林机场,Alax Youqi Badain Jaran Airport,ZBAR,RHT,2013年12月17日,中国内蒙古自治区阿拉善盟阿拉善右旗,3C,民用运输机场,中国民用航空华北地区管理局,1000 m² （截至2021年2月）,2 个 （截至2021年2月）,2400 m （截至2021年2月）,1 条 （2022年夏秋航季）,1座（2022年夏秋航季）,906 人次 [11] （2023年）,,635架次 （2023年）,内蒙古阿拉善民航机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
额济纳旗桃来机场,Ejinaqi Taolai Airport,ZBEN,EJN,2013年12月17日,中国内蒙古自治区阿拉善盟,3C,民用运输机场,中国民用航空华北地区管理局,480 m² （截至2019年12月）,2 个 （截至2019年12月）,2000 m （截至2019年12月）,2 条 （2020夏秋航季）,2个（2020夏秋航季）,2.15 万人次 （2019年）,0.4 吨 （2019年）,666架次（2019年）,内蒙古自治区民航机场管理集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,
吕梁大武机场,Lvliang Dawu Airport,ZBLL,LLV,2014年1月26日,中国山西省吕梁市,4C级,民用运输机场,中国民用航空华北地区管理局,13258.3 m² （截至2020年3月）,7个（截至2020年3月）,2600米（截至2020年3月）,8 条 （2022年夏秋航季）,12（2022年夏秋航季）,379659 人次 （2021年）,682.2 吨 （2021年）,6381架次（2021年）,山西航空产业集团有限公司 吕梁机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
神农架红坪机场,Shennongjia Hongping Airport,ZHSN,HPG,2014年5月8日,中国湖北省神农架林区,4C,民用运输机场,中国民用航空中南地区管理局,4000 m² （截至2021年2月）,3 个 （截至2021年2月）,2800 m （截至2021年2月）,3 条 （2021/2022年冬春航季）,3座（2021/2022年冬春航季）,20263 人次 （2021年）,,688架次（2021年）,神农架机场有限公司,,,,,,,,,,,,,,,,,,,,,,
海西德令哈机场,Haixi Delingha Airport,ZLDL,HXD,2014年6月16日,中国青海省海西蒙古族藏族自治州,4C级,民用运输机场,中国民用航空西北地区管理局,4400平方米（截至2020年4月）,4个（截至2020年4月）,3000米（截至2020年4月）,3条（截至2020年3月）,3个（截至2020年3月）,10.7563万人次（2019年）,1201.5吨（2019年）,1889架次（2019年）,西部机场集团青海机场有限公司德令哈机场分公司,,,,,,,,,,,,,,,,,,,,,,
河池金城江机场,Hechi Jinchengjiang Airport,ZGHC,HCJ,2014年8月28日,广西壮族自治区河池市,4C级,民用运输机场,中国民用航空中南地区管理局,4621平方米（截至2020年2月）,3个（截至2020年2月）,2200米（截至2020年2月）,3 条 （2023年夏秋航季）,5座（2023年夏秋航季）,20963人次（2019年）,0吨（2019年）,650架次（2019年）,广西机场管理集团有限责任公司 河池金城江机场有限责任公司,,,,,,,,,,,,,,,,,,,,,IATA：HCJ，ICAO：ZGHC,
阿坝红原机场,Aba Hongyuan Airport,ZUHY,AHJ,2014年8月28日,中国四川省阿坝藏族羌族自治州红原县,4C,民用运输机场,中国民用航空西南地区管理局,7500 m² （截至2020年12月）,3 个 （截至2020年12月）,3600 m （截至2020年12月）,2 条 （2022年夏秋航季）,2座（2024年夏秋航季）,22748 人次 （2021年）,,566架次（2021年）,阿坝红原机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
六盘水月照机场,Liupanshui Yuezhao Airport,ZUPS,LPF,2014年11月28日,中国贵州省六盘水市,4C,民用运输机场,中国民用航空西南地区管理局,8342 m²,3 个,2800 m,2 条 （2024年冬春航季）,2个 （2024年冬春航季）,1.92 万人次 （2022年）,1.65 吨 （2022年）,282架次 （2022年）,六盘水月照机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
遵义茅台机场,Zunyi Maotai Airport,ZUMT,WMT,2017年10月31日,中国贵州省遵义市仁怀市,4C,民用运输机场,中国民用航空西南地区管理局,15000 m² （截至2019年）,9 个 （截至2019年）,2600 m （截至2019年）,,27个 （2024年冬航季）,155.4 万人次 [40] （2024年）,1650 吨 [40] （2024年）,16178架次 [40] （2024年）,贵州遵义茅台机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
北京大兴国际机场,Beijing Daxing International Airport,ZBAD,PKX,2019年9月25日,中国 北京市 、河北省 廊坊市,4F,民用运输机场,中国民用航空华北地区管理局,780000 m² （截至2021年2月）,223 个 （截至2021年2月）,3条3800米、1条3400米，共4条（截至2019年9月）,179 条 （截至2021年5月）,149座 （截至2021年5月）,2505.10 万人次 （2021年）,18.59 万吨 （2021年）,21.12万架次 （2021年）,首都机场集团有限公司北京大兴国际机场,,,,,,,,,,,,,,,,,,,,,,
安康富强机场,Ankang Fuqiang Airport,ZLAK,AKA,2020年9月25日,中国陕西省安康市,4C级,军民合用支线机场 [23],中国民用航空西北地区管理局,5500 m² （截至2020年10月）,6 个 （截至2020年10月）,2600 m （截至2020年10月）,7 条 （2022年夏秋航季）,9座（2022年夏秋航季）,338805 人次 （2023年）,232.3 吨 （2023年）,38829架次（2023年）,西部机场集团安康机场有限公司,,,,,,,,,,,,,,,,,,,,,,
