中文名,外文名,ICAO代码,IATA代码,通航日期,所属地区,飞行区等级,机场类型,地区管理,航站楼面积,机位数量,跑道长度,航线数量,通航城市,旅客吞吐量,货邮吞吐量,起降架次,运营机构,开通城市,总投资,跑&nbsp;&nbsp;&nbsp;&nbsp;道,轨道交通线路站点,铁&nbsp;&nbsp;&nbsp;&nbsp;路,旅客捷运系统,枢纽航司,地&nbsp;&nbsp;&nbsp;&nbsp;址,安全管理机构,设计旅客年吞吐量,设计货邮年吞吐量,东跑道长度,西跑道长度,跑道宽度,客运航线,地理位置,始建时间,航站楼数量,机场地址,通航时间,机场代码,机场性质
厦门高崎国际机场,Xiamen Gaoqi International Airport,ZSAM,XMN,1983年10月,福建省厦门市,4E,民用运输机场,中国民用航空华东地区管理局,237000 m² [89] （截至2023年11月）,96 个 [82] （截至2025年12月）,3400 m,161 条 [82] （截至2025年）,112个 [82] （截至2025年）,2791 万人次 [85] （2024年）,10.1 万吨 [86] （2024年）,19.33万架次 [87] （2024年）,元翔（厦门）国际航空港股份有限公司,,,,,,,,,,,,,,,,,1941年,2座 [82] （截至2025年12月）,,,,
西宁曹家堡国际机场,Xining Caojiapu International Airport,ZLXN,XNN,1991年12月27日,中国青海省海东市,4E级,民用运输机场,中国民用航空西北地区管理局,158000 m² [51] （T3航站楼）,75 个 [44] （截至2025年9月）,3800 m （截至2025年8月）,,59座（2025年夏秋航季）,7026023 人次 （2024年）,37288 吨 （2024年）,56596架次（2024年）,西部机场集团青海机场有限公司,,,,,,,,,,,,,,,,,,,,,,
邢台褡裢机场,Xingtai Dalian Airport,ZBXT,XNT,2024年7月18日,中国河北省邢台市,4C,军民合用机场,中国民用航空华北地区管理局,6100 m² （截至2024年5月）,6 个 （截至2024年5月）,2600 m （截至2024年5月）,4 条 （2024年夏秋航季）,5座,100035 万人次 [34] （截至2025年6月26日）,,992架次 [35] （截至2025年7月18日）,河北机场管理集团有限公司 邢台机场有限公司,,,,,,,,,,,,,,,,,,,,,,
徐州观音国际机场,Xuzhou Guanyin International Airport,ZSXZ,XUZ,1997年11月8日,中国江苏省徐州市,4D [1],民用运输机场,中国民用航空华东地区管理局,58000 m² （截至2019年3月）,21 个 （截至2019年4月）,3400 m （截至2019年4月）,45 条 [37] （截至2019年12月）,39个 （截至2019年10月）,343 万人次 [36] （2019年）,1.5 万吨 [36] （2019年）,4.96万架次 （2019年）,徐州市观音机场有限公司 东部机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
宜宾五粮液机场,Yibin Wuliangye Airport,ZUYB,YBP,2019年12月5日,中国四川省宜宾市,4C,军民合用机场,中国民用航空西南地区管理局,24000 m² （截至2019年12月）,13 个 （截至2019年12月）,2600 m （截至2019年12月）,,30个 （2025年夏秋航季）,209.25 万人次 （2024年）,8083.06 吨 （2024年）,18408架次 （2024年）,宜宾机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
运城盐湖国际机场,Yuncheng Yanhu International Airport,ZBYC,YCU,2005年2月7日,中国山西省运城市,4E [35],民用运输机场,中国民用航空华北地区管理局,55700 m² （截至2022年12月）,20 个 （截至2022年12月）,3200 m （截至2021年12月）,31 条 （2022/2023年冬春航季）,31座（2022/2023年冬春航季）,1919323 人次 （2021年）,7306.5 吨 （2021年）,24229架次（2021年）,山西航空产业集团有限公司 运城民航机场有限公司 运城市民航机场建设中心,,,,,,,,,,,,,,,,,,,,,,
宜春明月山机场,Yichun Mingyueshan Airport,ZSYC,YIC,2013年6月26日,中国江西省宜春市,4C级,民用机场,中国民用航空华东地区管理局,0.72万平方米（截至2019年6月）,11 个,2400米，共1条（截至2019年6月）,8 条 （2024年夏航季）,15个（2024年夏航季）,50 万人次 （2023年8月11日）,0.01 万吨 （2020年）,0.51万架次 （2020年）,宜春明月航空发展服务有限责任公司,,,,,,,,,,,,,,,,,,,,,,
宜昌三峡国际机场,Yichang Sanxia International Airport,ZHYC,YIH,1996年12月28日,中国湖北省宜昌市,4D,民用运输机场,中国民用航空中南地区管理局,73800 m² （截至2023年7月）,21 个 （截至2023年7月）,3200 m （截至2023年7月）,34 条 （2024年夏秋航季）,40座（2024年夏秋航季）,3007545 人次 （2023年）,4562.9 吨 （2023年）,66936架次（2023年）,宜昌三峡机场有限责任公司 海南机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
伊犁伊宁国际机场,Ili Yining International Airport,ZWYN,YIN,1936年10月31日,中国新疆维吾尔自治区伊犁哈萨克自治州,4C,民用运输机场,中国民用航空新疆管理局,24000 m² （截至2024年1月）,13 个 （截至2024年1月）,2400 m （截至2024年1月）,26 条 （2024年夏秋航季）,23座（2024年夏秋航季）,1775429 人次 （2023年）,5418.8 吨 （2023年）,18784架次（2023年）,新疆机场（集团）有限责任公司 伊宁管理分公司,,,,,,,,,,,,,,,,,,,,,,
义乌机场,Yiwu Airport,ZSYW,YIW,1991年4月,中国浙江省金华市义乌市,4D级,军民合用运输机场,中国民用航空华东地区管理局,31000 m² （截至2024年11月）,11 个 （截至2024年11月）,3000 m （截至2024年11月）,24 条 （2023年夏秋航季）,23个（2024年冬航季）,296.57 万人次 （2023年）,1.52 万吨 （2023年）,2.40万架次（2023年）,浙江省义乌机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
延吉朝阳川国际机场,Yanji Chaoyangchuan International Airport 연길조양천국제공항,ZYYJ,YNJ,1985年8月29日,中国吉林省延边朝鲜族自治州延吉市,4C,军民合用机场,中国民用航空局东北地区管理局,21720 m² [10] （截至2020年8月）,11 个 （截至2020年8月）,2600 m （共1条，截至2020年8月）,22 条 （截至2025年3月）,21 个 （截至2025年3月）,179.59 万人次 （2024年）,3455.0 吨 （2024年）,13648架次 （2024年）,吉林省民航机场集团公司,,,,,,,,,,,,,,,,,,,,,,
烟台蓬莱国际机场,Yantai Penglai International Airport,ZSYT,YNT,2015年5月28日,中国山东省烟台市蓬莱区潮水镇,4E级,民用运输机场,中国民用航空华东地区管理局,9万平方米（截至2015年5月） [3],39个（截至2015年5月）,3400米，共一条（截至2015年5月）,75 条 （2024年冬春航季）,52个（2024年夏秋航季）,1000万人次（2019年）,4.11万吨（2017年）,6.21万架次（2017年）,烟台国际机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
盐城南洋国际机场,Yancheng Nanyang International Airport,ZSYN,YNZ,2000年3月29日,中国江苏省盐城市,4C,军民合用机场,中国民用航空华东地区管理局,44050 m² （截至2023年8月）,20 个 （截至2023年8月）,2800 m （截至2023年8月）,,31座（2023年夏秋航季）,876131 人次 （2022年）,3248.9 吨 （2022年）,9468架次（2022年）,东部机场集团有限公司 盐城南洋国际机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
昭通机场,Zhaotong Airport,ZPZT,ZAT,1950年,中国云南省昭通市,4C级,军民合用机场,中国民用航空西南地区管理局,1906 m² （截至2022年12月）,2 个 （截至2022年12月）,2600 m （截至2022年12月）,8 条 （2023年夏秋航季）,9座 （2023年夏秋航季）,247081 人次 （2022年）,515 吨 （2022年）,372架次 （2022年）,云南机场集团有限责任公司昭通机场,,,,,,,,,,,,,,,,,,,,,,
日照山字河机场,Rizhao Shanzihe Airport,ZSRZ,RIZ,2015年12月22日,中国山东省日照市,4C级,民用运输机场,中国民用航空华东地区管理局,2.2万平方米（截至2018年10月）,6个（截至2018年10月）,2600米，共1条（截至2018年10月）,15条（截至2019年10月）,21个（截至2019年10月）,90.12万人次（2018年）,0.14万吨（2018年）,7.95万架次（2018年）,日照机场建设投资有限公司,,,,,,,,,,,,,,,,,,,,,,
