"module name","license","repository"
"@docsearch/js@3.6.2","MIT","https://github.com/algolia/docsearch"
"@docsearch/react@3.6.2","MIT","https://github.com/algolia/docsearch"
"@emotion/hash@0.9.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/hash"
"@emotion/unitless@0.8.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/unitless"
"@enra-gmbh/panolens@0.0.11","MIT","https://github.com/enra-GmbH/panolens.js"
"@esbuild/win32-x64@0.23.1","MIT","https://github.com/evanw/esbuild"
"@esbuild/win32-x64@0.24.0","MIT","https://github.com/evanw/esbuild"
"@faker-js/faker@9.2.0","MIT","https://github.com/faker-js/faker"
"@floating-ui/core@1.6.7","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.6.10","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.7","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/vue@1.1.4","MIT","https://github.com/floating-ui/floating-ui"
"@gera2ld/jsx-dom@2.2.2","ISC","https://github.com/gera2ld/jsx-dom"
"@gitmoji/commit-types@1.1.5","MIT","https://github.com/arvinxx/commit-gitmoji"
"@gitmoji/gitmoji-regex@1.0.0","ISC","https://github.com/arvinxx/gitmoji-commit-workflow"
"@gitmoji/parser-opts@1.4.0","ISC","https://github.com/arvinxx/gitmoji-commit-workflow"
"@heroicons/vue@2.2.0","MIT","https://github.com/tailwindlabs/heroicons"
"@hutson/parse-repository-url@3.0.2","Apache-2.0","git+https://gitlab.com/hyper-expanse/open-source/parse-repository-url"
"@hutson/parse-repository-url@5.0.0","Apache-2.0","https://github.com/hyper-expanse/parse-repository-url"
"@iarna/toml@2.2.5","ISC","https://github.com/iarna/iarna-toml"
"@iconify-json/logos@1.2.3","CC0-1.0",""
"@iconify-json/simple-icons@1.2.11","CC0-1.0",""
"@iconify-json/vscode-icons@1.2.2","MIT",""
"@iconify/iconify@3.1.1","MIT","https://github.com/iconify/iconify"
"@iconify/json@2.2.276","MIT","https://github.com/iconify/icon-sets"
"@iconify/types@2.0.0","MIT","https://github.com/iconify/iconify"
"@iconify/utils@2.1.33","MIT","https://github.com/iconify/iconify"
"@iconify/vue@4.1.2","MIT","https://github.com/iconify/iconify"
"@iktakahiro/markdown-it-katex@4.0.1","MIT","https://github.com/iktakahiro/markdown-it-katex"
"@img/sharp-win32-x64@0.33.5","Apache-2.0 AND LGPL-3.0-or-later","https://github.com/lovell/sharp"
"@inquirer/checkbox@4.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/confirm@5.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/core@10.1.0","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/editor@4.1.0","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/expand@4.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/figures@1.0.8","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/input@4.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/number@3.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/password@4.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/prompts@7.1.0","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/rawlist@4.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/search@3.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/select@4.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/type@3.0.1","MIT","https://github.com/SBoudrias/Inquirer.js"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@jridgewell/gen-mapping@0.3.5","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/source-map@0.3.6","MIT","https://github.com/jridgewell/source-map"
"@jridgewell/sourcemap-codec@1.5.0","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@kwsites/file-exists@1.1.1","MIT","https://github.com/kwsites/file-exists"
"@kwsites/promise-deferred@1.1.1","MIT","https://github.com/kwsites/promise-deferred"
"@lite-tree/vue@1.1.4","MIT","https://github.com/zhangfisher/lite-tree"
"@lokesh.dhakar/quantize@1.4.0","MIT","https://github.com/lokesh/quantize"
"@mdit-vue/shared@2.1.3","MIT","https://github.com/mdit-vue/mdit-vue"
"@mdit-vue/types@2.1.0","MIT","https://github.com/mdit-vue/mdit-vue"
"@mdit/plugin-ruby@0.13.1","MIT","https://github.com/mdit-plugins/mdit-plugins"
"@mdit/plugin-tasklist@0.13.1","MIT","https://github.com/mdit-plugins/mdit-plugins"
"@mermaid-js/parser@0.3.0","MIT","https://github.com/mermaid-js/mermaid"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@octokit/auth-token@4.0.0","MIT","https://github.com/octokit/auth-token.js"
"@octokit/core@5.2.0","MIT","https://github.com/octokit/core.js"
"@octokit/endpoint@9.0.5","MIT","https://github.com/octokit/endpoint.js"
"@octokit/graphql@7.1.0","MIT","https://github.com/octokit/graphql.js"
"@octokit/openapi-types@22.2.0","MIT","https://github.com/octokit/openapi-types.ts"
"@octokit/plugin-paginate-rest@11.3.1","MIT","https://github.com/octokit/plugin-paginate-rest.js"
"@octokit/plugin-request-log@4.0.1","MIT","https://github.com/octokit/plugin-request-log.js"
"@octokit/plugin-rest-endpoint-methods@13.2.2","MIT","https://github.com/octokit/plugin-rest-endpoint-methods.js"
"@octokit/request-error@5.1.0","MIT","https://github.com/octokit/request-error.js"
"@octokit/request@8.4.0","MIT","https://github.com/octokit/request.js"
"@octokit/rest@20.1.1","MIT","https://github.com/octokit/rest.js"
"@octokit/types@13.5.0","MIT","https://github.com/octokit/types.ts"
"@parcel/watcher-win32-x64@2.4.1","MIT","https://github.com/parcel-bundler/watcher"
"@parcel/watcher@2.4.1","MIT","https://github.com/parcel-bundler/watcher"
"@pinyin-pro/data@1.2.0","ISC","https://github.com/chinese-data/pinyin-pro-data"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@pnpm/config.env-replace@1.1.0","MIT","https://github.com/pnpm/components"
"@pnpm/network.ca-file@1.0.2","MIT","https://github.com/pnpm/components"
"@pnpm/npm-conf@2.3.1","MIT","https://github.com/pnpm/npm-conf"
"@polka/url@1.0.0-next.28","MIT","https://github.com/lukeed/polka"
"@red-asuka/vitepress-plugin-tabs@0.0.4","MIT","https://github.com/Red-Asuka/vitepress-plugin-tabs"
"@release-it/conventional-changelog@9.0.3","MIT","https://github.com/release-it/conventional-changelog"
"@resvg/resvg-js-win32-x64-msvc@2.4.1","MPL-2.0","https://github.com/yisibl/resvg-js"
